code,name,latitude,longitude
AB,AMBUR,12.7916,78.7164
ABKA,AMBIKA KALNA,23.212637,88.353870
AD,ADONI,15.617614,77.274694
AGC,AGRA CANTT,27.158953,77.990048
AII,AJMER JN.,26.456336,74.637348
AJJ,ARAKKONAM JN,13.082339,79.668525
AK,AKOLA JN.,20.722776,77.005299
AKOR,AKALKOT ROAD,17.450785,76.138531
ATP,ANANTAPUR,14.686288,77.595246
AVN,ANVARDIKANPE,13.050776,79.567244
AWB,AURANGABAD,19.859800,75.311401
AWY,ALWAYE,10.108253,76.356699
AZ,AZIMGANJ JN.,24.230042,88.259910
BALU,BALUGAN,19.748040,85.201500
BAM,BERHAMPUR,19.296752,84.797400
BAU,BURHANPUR,21.334818,76.199833
BBS,BHUBANESWAR,20.266777,85.843559
BD,BADNERA JN.,20.857061,77.732182
BDC,BANDEL JN.,22.923669,88.378286
BGS,BEGU SARAI,25.425108,86.134511
BGZ,BAHADURGARH,28.701224,76.930357
BHC,BHADRAKH,21.090906,86.516542
BHL,BHILWARA,25.345179,74.631500
BHP,BOLPUR,23.658043,87.698828
BJU,BARAUNI JN.,25.462960,85.987909
BKRD,BHALUKA ROAD,25.331530,87.922652
BLS,BALASORE,21.500642,86.919884
BMF,BASMAT,19.332860,77.151575
BNC,BANGALORE CA,12.993687,77.598000
BNCE,BANGALORE EA,13.001146,77.618345
BOE,BARSOI JN.,25.650903,87.923581
BPB,BADARPUR JN.,24.865057,92.556227
BPL,BHOPAL,23.266485,77.413084
BPRD,BARPETA ROAD,26.502126,90.964571
BSL,BHUSAVAL JN.,21.047255,75.788059
BSX,BASAR,18.865790,77.938860
BWT,BANGARPET JN,12.985495,78.178224
BZA,VIJAYWADA JN,16.517968,80.619572
CBE,COIMBATORE,10.997568,76.966366
CHE,SRIKAKULAM R,18.408971,83.903886
CNGR,CHENGANNUR,9.318281,76.608532
COR,CHITTAURGARH,24.876020,74.623271
CPT,CHANNA PATNA,12.659373,77.203893
CSMT,CST-MUMBAI,18.944124,72.836290
CTC,CUTTACK JN.,20.464027,85.900204
DAB,DHARMABAD,18.888488,77.849475
DBU,DODBALLAPUR,13.279688,77.550505
DD,DAUND JN.,18.463915,74.579301
DGLE,DHULIAN GANG,24.671723,87.938843
DHNE,DHONE JN,15.395332,77.868066
DKZ,DELHI-KISHAN,28.662744,77.197908
DMM,DHARMAVARAM,14.426063,77.715228
DMN,DHAMANGAON,20.784346,78.138982
DMO,DAMOH,23.836059,79.432139
DQG,DHUPGURI,26.574175,88.993815
DR,DADAR,19.017734,72.843752
DUD,DUDHANI,17.362639,76.380285
DUI,DHURI JN.,30.372408,75.871738
DVD,DUVVADA,17.703598,83.151376
DZA,DASUA,31.808457,75.658007
ED,ERODE JN.,11.328626,77.725790
ERN,ERNAKULAM TO,9.991656,76.286356
ET,ITARSI,22.608563,77.767070
FDB,FARIDABAD,28.410762,77.307077
FL,PHULERA JN.,26.873610,75.246024
GBD,GAURIBIDANUR,13.613449,77.513135
GHY,GUWAHATI,26.182370,91.750123
GR,GULBARGA,17.3147,76.8262
GTL,GUNTAKAL JN.,15.173713,77.369864
GUR,GANGAPUR ROA,17.340746,76.589503
GWD,GADWAL,16.225195,77.809493
GWL,GWALIOR JN,26.2160,78.1824
GY,GOOTY JN.,15.149548,77.625239
HCR,HARISHCHANDR,25.403759,87.868515
HJI,HOJAI,26.001959,92.851660
HNL,HINGOLI(DECC,19.726712,77.147765
HUP,HINDUPUR,13.818776,77.499936
HWH,HOWRAH JN.,22.582871,88.342811
HX,CUDDAPAH,14.451567,78.829278
HYB,HYDERABAD DE,17.392422,78.467596
IGP,IGATPURI,19.694439,73.563888
J,JALNA,19.831823,75.890934
JAT,JAMMU TAWI,32.706040,74.879993
JBP,JABALPUR,23.164973,79.951231
JHL,JAKHAL JN.,29.803082,75.820793
JHS,JHANSI JN,25.443950,78.553442
JIND,JIND JN,29.329610,76.289501
JJKR,JAJPUR KEONJ,20.943567,86.133103
JL,JALGAON JN.,21.017980,75.563254
JP,JAIPUR JN.,26.920789,75.786654
JPE,JALPAIGURI R,26.559179,88.709439
JRC,JALANDHAR CA,31.307331,75.631199
JRLE,JANGIPUR ROA,24.459111,88.041287
JTJ,JOLARPETTAI,12.563990,78.578390
KAJ,KALIYAGANJ,25.639014,88.327628
KCG,KACHEGUDA,17.389311,78.499240
KDPR,KUMEDPUR,25.428016,87.806707
KGG,KHAGARIA JN.,25.506425,86.466324
KGI,KENGERI,12.917657,77.483757
KGLE,KHAGRAGHAT R,24.106597,88.226509
KGP,KHARAGPUR,22.339940,87.325005
KIR,KATIHAR JN.,25.547973,87.565232
KJM,KRISHNA RAJA,13.000599,77.675649
KMC,KAMAREDDI,18.325198,78.336002
KNE,KISHANGANJ,26.098334,87.950442
KNW,KHANDWA JN.,21.823702,76.353229
KOAA,KOLKATA,22.601277,88.384147
KOJ,KOKRAJHAR,26.404636,90.272596
KPD,KATPADI JN,12.972153,79.137637
KPN,KUPPAM,12.747280,78.340363
KRNT,KURNOOL TOWN,15.832599,78.032622
KSG,KISHANGARH,26.575597,74.824877
KSN,KRISHNA,16.410567,77.328850
KTE,KATNI,23.834763,80.400698
KTHU,KATHUA,32.398112,75.550694
KTYM,KOTTAYAM,9.594478,76.532283
KUR,KHURDA ROAD,20.153114,85.707633
KWAE,KATWA JN.,23.640004,88.123757
KWV,KURDUVADI JN,18.091848,75.417041
KYE,KHURAI,24.052194,78.330967
KYJ,KAYANKULAM J,9.181302,76.512100
KYN,KALYAN JN,19.235822,73.130810
KYQ,KAMAKHYA JN,26.157280,91.692069
LDH,LUDHIANA JN.,30.912252,75.849376
LMG,LUMDING JN.,25.750226,93.176605
LNL,LONAVLA,18.750369,73.406944
MAD,MADDUR,12.604671,77.049700
MAKR,MALKHEDI,24.170509,78.223521
MALM,MANTHRALAYAM,15.944317,77.298439
MAS,CHENNAI CENT,13.082423,80.275962
MBG,MAIBANG,25.304827,93.135867
MBNR,MAHBUBNAGAR,16.757791,78.000075
MDS,MANDSOR,24.075288,75.076299
MED,MEDCHAL,17.639925,78.475344
MFP,MUZAFFARPUR,26.122355,85.377950
MJF,MALKAJGIRI,17.448344,78.528973
MKU,MALKAPUR,20.891958,76.204035
MLDT,MALDA TOWN,25.015964,88.130576
MMR,MANMAD JN.,20.250182,74.439395
MRA,MORENA,26.501320,78.002862
MTJ,MATHURA JN.,27.480113,77.673760
MUE,MUDKHED JN.,19.148005,77.509748
MVLK,MAVELIKARA,9.239652,76.545719
MYA,MANDYA,12.528885,76.896700
MYS,MYSORE JN.,12.3163,76.6454
MZR,MURTAJAPUR J,20.736449,77.355275
NAD,NAGDA JN,23.456018,75.412320
NBQ,NEW BONGAIGA,26.475824,90.537236
NCB,NEW COOCH BE,26.352971,89.469067
NDAE,NABADWIP DHA,23.397546,88.356700
NDLS,NEW DELHI,28.641926,77.221750
NED,NANDED,19.160180,77.309882
NFK,NEW FARAKKA,24.794729,87.915561
NGP,NAGPUR JN.(C,21.1523,79.0882
NH,NAIHATI JN.,22.887006,88.417653
NHLG,NEW HALFLONG,25.148010,93.032056
NJP,NEW JALPAIGU,26.682855,88.442480
NK,NASIK ROAD,19.948058,73.842084
NLR,NELLORE,14.461974,79.990227
NMH,NIMACH,24.462465,74.850114
NNA,NAUGACHIA,25.384779,87.094077
NOQ,NEW ALIPURDU,26.486360,89.541504
NRW,NARWANA JN.,29.589052,76.109677
NSL,NAGARSOL,20.101266,74.543154
NW,NALWAR,16.936031,77.019441
NZB,NIZAMABAD,18.678787,78.103517
NZM,HAZRAT NIZAM,28.588965,77.253520
OGL,ONGOLE,15.497807,80.057120
OKA,OKHLA,28.542934,77.275041
PANP,PANDAVAPURA,12.463777,76.681066
PAU,PURNA  JN.,19.180621,77.025635
PBN,PARBHANI JN.,19.257703,76.773751
PER,PERAMBUR,13.107719,80.244414
PGT,PALAKKAD JN,10.799297,76.637566
PKD,PENU KONDA,14.100066,77.594580
PKR,PAKUR,24.637965,87.855867
PLO,PULGAON JN.,20.726258,78.317553
PSA,PALASA,18.757382,84.421945
PTKC,PATHANKOT CA,32.259378,75.636536
PUNE,PUNE JN.,18.529751,73.872596
PUT,PUTUR,13.439853,79.552783
QLN,QUILON,8.886219,76.595483
RC,RAICHUR,16.192803,77.338997
RDP,RADHIKAPUR,25.643116,88.447793
RGJ,RAIGANJ,25.618718,88.129033
RJP,RAZAMPETA,14.185298,79.153112
RJY,RAJAHMUNDRY,16.984043,81.783958
RMGM,RAMANAGARAM,12.721048,77.283738
RNY,RANGIYA JN.,26.446761,91.606980
ROK,ROHTAK JN.,28.890920,76.579626
RPH,RAMPUR HAT,24.179137,87.781974
RTM,RATLAM JN,23.340708,75.050993
RU,RENIGUNTA JN,13.637874,79.506253
SA,SALEM JN.,11.670755,78.113543
SADP,SAIDAPUR,16.570787,77.250003
SAG,SANGRUR,30.242401,75.830371
SALE,SALAR,23.774701,88.111135
SBC,KRANTIVIRA S,12.978174,77.569560
SC,SECUNDERABAD,17.433859,78.502051
SCL,SILCHAR,24.830302,92.787569
SDB,SHAHABAD,17.121932,76.943397
SEG,SHEGAON,20.8007,76.6904
SFMU,SUNAM,30.129997,75.808292
SGO,SAUGOR,23.847761,78.743332
SHU,SHOLINGUR,13.014113,79.486762
SM,SAMSI,25.276269,88.010118
SPJ,SAMASTIPUR J,25.859282,85.786636
SRC,SANTRAGACHI,22.584699,88.283072
SSB,SHAKUR BASTI,28.681407,77.127568
SSPN,SRI SATYA SA,14.161031,77.758879
SUR,SOLAPUR,17.664529,75.893494
SVDK,SHRI MATA VA,32.983037,74.934995
TCR,TRICHUR,10.516140,76.208462
TKD,TUGALAKABAD,28.503442,77.297051
TNA,THANE,19.186483,72.975766
TRL,TIRUVALLUR,13.116192,79.912160
TRT,TIRUTTANI,13.179295,79.612181
TRVL,TIRUVALLA,9.3874,76.5890
TU,TADIPATRI,14.908490,77.977419
TUP,TIRUPPUR,11.108222,77.339869
TVC,TRIVANDRUM C,8.487017,76.952641
UHP,UDHAMPUR,32.926234,75.153621
UJN,UJJAIN JN,23.179535,75.781954
URI,URULI,18.493720,74.136966
VSKP,VISAKHAPATNA,17.721431,83.290622
VZM,VIZIANAGARAM,18.111464,83.396325
WADI,WADI JN.,17.052294,76.991895
WFD,WHITE FIELD,12.996400,77.761423
