Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Halt Time,Departure Time,Distance,Distance Traveled,Distance to Next Station,Distance to Destination,Platform Number,Source Station,Source Station Name,Destination Station,Destination Station Name,Coach Count,Coaches
12461,Jodhpur-Sabarmati Vande Bharat Express,1,JU,Jodhpur Junction,--:--:--,0,06:05:00,0,0.0,73.0,448.0,1,JU,Jodhpur,SBIB,Sabarmati,8,"C1, C7, E1, C2, C6, C3, C4, C5"
12461,Jodhpur-Sabarmati Vande Bharat Express,2,PMY,Pali Marwar,06:55:00,2,06:57:00,73,73.0,97.0,375.0,1,JU,Jodhpur,SBIB,Sabarmati,8,"C1, C7, E1, C2, C6, C3, C4, C5"
12461,Jodhpur-Sabarmati Vande Bharat Express,3,FA,Falna,08:00:00,2,08:02:00,170,170.0,98.0,278.0,1,JU,Jodhpur,SBIB,Sabarmati,8,"C1, C7, E1, C2, C6, C3, C4, C5"
12461,Jodhpur-Sabarmati Vande Bharat Express,4,ABR,Abu Road,09:05:00,5,09:10:00,268,268.0,53.0,180.0,2,JU,Jodhpur,SBIB,Sabarmati,8,"C1, C7, E1, C2, C6, C3, C4, C5"
12461,Jodhpur-Sabarmati Vande Bharat Express,5,PNU,Palanpur Junction,10:04:00,2,10:06:00,321,321.0,65.0,127.0,1,JU,Jodhpur,SBIB,Sabarmati,8,"C1, C7, E1, C2, C6, C3, C4, C5"
12461,Jodhpur-Sabarmati Vande Bharat Express,6,MSH,Mahesana Junction,10:51:00,2,10:53:00,386,386.0,62.0,62.0,5,JU,Jodhpur,SBIB,Sabarmati,8,"C1, C7, E1, C2, C6, C3, C4, C5"
12461,Jodhpur-Sabarmati Vande Bharat Express,7,SBIB,Sabarmati BG,12:05:00,0,--:--:--,448,448.0,0.0,0.0,2,JU,Jodhpur,SBIB,Sabarmati,8,"C1, C7, E1, C2, C6, C3, C4, C5"
12462,Sabarmati-Jodhpur Vande Bharat Express,1,SBIB,Sabarmati BG,--:--:--,0,16:45:00,0,0.0,62.0,448.0,2,SBIB,Sabarmati,JU,Jodhpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
12462,Sabarmati-Jodhpur Vande Bharat Express,2,MSH,Mahesana Junction,17:28:00,2,17:30:00,62,62.0,65.0,386.0,4,SBIB,Sabarmati,JU,Jodhpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
12462,Sabarmati-Jodhpur Vande Bharat Express,3,PNU,Palanpur Junction,18:38:00,2,18:40:00,127,127.0,53.0,321.0,2,SBIB,Sabarmati,JU,Jodhpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
12462,Sabarmati-Jodhpur Vande Bharat Express,4,ABR,Abu Road,19:15:00,5,19:20:00,180,180.0,99.0,268.0,1,SBIB,Sabarmati,JU,Jodhpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
12462,Sabarmati-Jodhpur Vande Bharat Express,5,FA,Falna,20:19:00,2,20:21:00,279,279.0,97.0,169.0,2,SBIB,Sabarmati,JU,Jodhpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
12462,Sabarmati-Jodhpur Vande Bharat Express,6,PMY,Pali Marwar,21:29:00,2,21:31:00,376,376.0,72.0,72.0,1,SBIB,Sabarmati,JU,Jodhpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
